Number,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Rikitea,PF,70.55,-23.12,-134.97,100,88,12.66
1,Jamestown,AU,77.48,-33.21,138.6,31,76,14.67
2,Gorom-Gorom,BF,72.98,14.45,-0.24,86,8,3.04
3,Nikolskoye,RU,44.6,59.7,30.79,81,0,11.18
4,Airai,TL,75.32,-8.93,125.41,70,44,1.92
6,Lethem,GY,87.11,3.38,-59.8,42,0,12.77
7,Ambanja,MG,63.26,-13.68,48.45,73,0,2.93
8,Hobart,AU,60.8,-42.88,147.33,59,40,13.87
9,Punta Arenas,CL,37.4,-53.16,-70.91,100,40,18.34
10,Idah,NG,73.43,7.11,6.73,100,92,6.17
11,Chanute,US,72.03,37.68,-95.46,91,1,6.93
12,Pisco,PE,62.6,-13.71,-76.2,82,0,4.7
13,Mar del Plata,AR,45.71,-46.43,-67.52,52,80,14.56
14,Hilo,US,75.38,19.71,-155.08,62,90,5.82
15,Raudeberg,NO,41,61.99,5.14,86,92,17.22
16,Cape Town,ZA,55.4,-33.93,18.42,82,40,6.93
17,Gimbi,ET,52.46,8.81,37.79,77,64,1.59
18,La Romana,DO,76.64,18.43,-68.97,100,75,2.48
19,Palana,RU,38.78,59.08,159.95,98,92,3.15
20,Qaanaaq,GL,15.74,77.48,-69.36,100,0,13.78
22,Bulgan,MN,59.12,48.81,103.53,49,0,4.16
23,Tasiilaq,GL,32,65.61,-37.64,100,0,1.12
24,Albany,US,53.17,42.65,-73.75,89,90,3.36
25,Hermanus,ZA,53.45,-34.42,19.24,96,92,6.62
26,Ushuaia,AR,35.6,-54.81,-68.31,80,40,17.22
27,Busselton,AU,63.71,-33.64,115.35,93,12,17.13
28,Wete,TZ,77.21,-5.06,39.73,100,76,11.65
30,Ponta do Sol,BR,64.7,-20.63,-46,95,88,2.71
31,Banswara,IN,81.71,23.55,74.45,80,0,4.38
32,Khatanga,RU,34.91,71.98,102.47,100,64,4.5
33,Klaksvik,FO,44.6,62.23,-6.59,93,76,18.34
34,Colares,PT,63.55,38.8,-9.45,35,0,9.17
37,Ancud,CL,43.73,-41.87,-73.83,94,68,5.73
38,Takayama,JP,68,36.14,137.25,72,75,4.7
39,East London,ZA,68.57,-33.02,27.91,100,24,13
40,Taltal,CL,53.18,-25.41,-70.49,94,0,2.15
41,Cesis,LV,42.92,57.31,25.27,79,88,3.49
42,Saskylakh,RU,30.05,71.97,114.09,99,92,6.17
43,Kungurtug,RU,48.05,50.6,97.53,46,0,3.38
44,Tarko-Sale,RU,33.65,64.92,77.78,92,92,10.54
45,Guerrero Negro,MX,72.71,27.97,-114.04,96,92,19.71
46,Kupang,ID,86.48,-10.16,123.6,67,0,16.24
47,New Norfolk,AU,60.8,-42.78,147.06,59,40,13.87
48,Castro,CL,43.91,-42.48,-73.76,98,88,6.17
49,Portland,US,64.6,45.52,-122.67,61,90,4.7
52,Carnarvon,ZA,52.37,-30.97,22.13,18,8,10.2
53,Palmer,US,49.73,61.6,-149.11,74,1,2.04
54,Itigi,TZ,57.68,-5.7,34.5,83,0,8.3
55,Cidreira,BR,63.53,-30.17,-50.22,100,92,13.44
56,Iquique,CL,64.4,-20.22,-70.14,77,90,10.29
57,Barrow,AR,38.33,-38.31,-60.23,46,0,11.99
58,Esperance,TT,78.8,10.24,-61.45,94,20,5.95
59,Haines Junction,CA,32.3,60.75,-137.51,52,0,2.71
60,Lafia,NG,71,8.5,8.51,98,80,6.73
61,Kokopo,PG,84.68,-4.34,152.27,93,24,6.06
62,Fredericksburg,US,68.14,38.3,-77.46,94,1,3.36
63,Leningradskiy,RU,41.3,69.38,178.42,89,80,14.67
64,Upernavik,GL,36.17,72.79,-56.15,97,92,31.79
65,Vaini,IN,75.59,15.34,74.49,87,0,3.6
66,Avarua,CK,73.4,-21.21,-159.78,53,40,10.29
68,Dikson,RU,37.88,73.51,80.55,100,56,18.92
69,Kodiak,US,60.08,39.95,-94.76,92,90,5.82
70,Kirakira,SB,82.7,-10.46,161.92,100,36,6.4
71,Saint Anthony,US,55.24,43.97,-111.68,40,20,4.7
72,Kaeo,NZ,59.57,-35.1,173.78,84,88,5.95
73,Lahij,YE,65.33,13.06,44.88,98,36,3.15
76,Yaring,TH,85.19,6.87,101.37,70,40,6.93
77,Bambous Virieux,MU,71.6,-20.34,57.76,78,75,11.41
78,Olga,US,81.32,34.11,-118.17,39,5,5.82
80,Kieta,PG,82.07,-6.22,155.63,100,32,4.61
81,Denpasar,ID,84.2,-8.65,115.22,74,20,13.87
84,Chandler,US,75.51,33.31,-111.84,88,75,5.82
85,Kavaratti,IN,81.08,10.57,72.64,100,48,2.15
86,Arraial do Cabo,BR,73.52,-22.97,-42.02,95,92,3.15
87,Inhambane,MZ,67.13,-23.87,35.38,100,0,8.63
88,Badulla,LK,73.61,6.99,81.06,92,64,2.82
